mention_id,article_id,date,year,page,title,mention_idx_in_article,window,mantra_binding,institutional_embedding,inst_narrow,inst_broader,inst_constitutional,personal_command,cmd_listen,cmd_responsible,cmd_at_ease
M00001,2018-01-01_p01_全面贯彻习近平强军思想 奋力推进新时代强军事业,2018-01-01,2018,01,全面贯彻习近平强军思想 奋力推进新时代强军事业,0,"恒心和韧劲，已有的改革成果要巩固拓展，已经推出的改革方案要狠抓落实，没有完成的改革任务要加紧推进。深化重大政策制度改革，推进军事管理革命，完善和发展中国特色社会主义军事制度。
新的一年，我们要加强军队党的建设。党是领导一切的，党的建设是做好我军全部工作的根本保证。深入贯彻新时代党的建设总要求，坚持党对军队绝对领导的根本原则和制度，教育引导官兵强化“四个意识”，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制。严肃政治纪律和政治规矩，坚决纠正“四风”特别是形式主义、官僚主义，持之以恒推进反腐败斗争，全面彻底肃清郭伯雄、徐才厚流毒影响，持续纯正部队政治生态。大力弘扬光荣传统和优良作风，扎实开展“传承红色基因、担当强军重任”主题教育，培养“四有”新时代革命军人，锻造“四铁”过硬部队，确保全军在思想上政治上行动上与党中央、中央军委和习主席保持高度一致，坚决听从党中央、中央军委和习主席指挥。
“风正潮平，自当",0,1,0,1,0,0,0,0,0
M00002,2018-01-03_p02_学思践悟，推动新时代军事科研创新发展,2018-01-03,2018,02,学思践悟，推动新时代军事科研创新发展,0,"才……前不久，在军事科学院师以上领导干部学习贯彻党的十九大精神理论集训结束之际，该院与天津市签署战略合作框架协议，双方将深度合作，大力推动军地协同创新。这是该院把理论集训中焕发出的政治热情和形成的认识成果，落实到推动新时代军事科研创新发展的务实举措。
理论联系实际，聚焦问题调研。集训前，该院党委机关紧贴科研任务，梳理出“如何在军事科研中牢固立起习近平强军思想的指导地位”“如何在科研和建设中深入贯彻军委主席负责制”“如何树立起备战打仗的鲜明导向”等5大方面问题，院党委常委和军师级党委正副书记带着问题深入科研一线搞调研、讲党课，先后宣讲辅导20多场次，形成37项反映基层实际、具有借鉴意义的研究成果。
集训中，通过分班集中讨论、撰写学习体会、大会交流发言，百余名将校军官进一步学深悟透习近平新时代中国特色社会主义思想和党的十九大精神，推动学习贯彻从零散到系统、从浅表到精深、从领悟理论到指导实践的跃升。经过广泛研",0,0,0,0,0,0,0,0,0
M00003,2018-01-03_p02_学思践悟，推动新时代军事科研创新发展,2018-01-03,2018,02,学思践悟，推动新时代军事科研创新发展,1,"国特色社会主义思想和党的十九大精神，推动学习贯彻从零散到系统、从浅表到精深、从领悟理论到指导实践的跃升。经过广泛研讨，大家一致认为，要坚持以备战打仗牵引科研创新，突出研究军事、研究战争、研究打仗，做到科研立项紧贴战场需求，项目攻关紧盯技术前沿，实验论证立足实战环境，科研成果围绕备战打赢，切实提高军事科研对战斗力提升的贡献率。
目前，该院党委按照“学懂弄通做实”的要求，研究制定军事科学院全面深入贯彻军委主席负责制25条具体措施和军事科研建设发展规划，设计提出20个重点科研方向、6类重要科研能力，以重点工作推动学习贯彻向纵深发展。",0,0,0,0,0,0,0,0,0
M00004,2018-01-05_p07_学深悟透取得新成效 转化运用实现新突破,2018-01-05,2018,07,学深悟透取得新成效 转化运用实现新突破,0,主席“走在前列”“关键要实”的指示要求，大力弘扬马克思主义的优良学风，既在学深悟透上取得新成效，更在转化运用上取得新突破。转化为绝对忠诚的思想自觉。最根本的就是通过学习不断铸牢军魂，不断强化“四个意识”，切实做到在思想上高度信赖核心，组织上自觉服从核心，行动上始终紧跟核心。自觉打好全面彻底肃清郭伯雄、徐才厚流毒影响“持久战”，从思想上深层祛毒，从政治上划清界限，从作风上挖根除弊。坚定自觉地贯彻落实军委主席负责制，坚持党对军队绝对领导的根本原则和制度，做到任何时候任何情况下都始终同党中央、中央军委和习主席保持高度一致，坚决听从党中央、中央军委和习主席指挥。转化为备战打仗的使命担当。牢固树立战斗队思想，不断增强忧患意识、危机意识、打仗意识，真想打仗事情、真抓打仗准备，做到全部心思向打仗聚焦，各项工作向打仗用劲。大兴作战问题研究之风，集中精力研究军事、研究战争、研究打仗，深刻把握信息化战争制胜机理，着力解决好,0,1,0,1,0,0,0,0,0
M00005,2018-01-07_p01_推进党的建设新的伟大工程要一以贯之,2018-01-07,2018,01,推进党的建设新的伟大工程要一以贯之,0,"终成为时代先锋、民族脊梁，始终成为马克思主义执政党。
党的建设是做好我军全部工作的根本保证。我军是党绝对领导下的人民军队，强军兴军关键在党。搞好军队党的建设，是军队建设发展的核心问题，关系到党的执政地位，关系到我军性质宗旨，关系到部队战斗力。一以贯之推进党的建设新的伟大工程，对我军来说，就是要坚持党对军队绝对领导的根本原则和制度，教育引导官兵强化“四个意识”，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制。要抓住“关键少数”，领导干部必须做到信念过硬、政治过硬、责任过硬、能力过硬、作风过硬，把践行“三严三实”贯穿于全部工作生活中。要严肃政治纪律和政治规矩，坚决纠正“四风”特别是形式主义、官僚主义，持之以恒推进反腐败斗争，全面彻底肃清郭伯雄、徐才厚流毒影响，持续纯正部队政治生态。大力弘扬光荣传统和优良作风，扎实开展“不忘初心、牢记使命”和“传承红色基因、担当强军重任”主题教育，培养“四有”新时代革命",0,1,0,1,0,0,0,0,0
M00006,2018-01-08_p07_用红色基因培育塑造官兵,2018-01-08,2018,07,用红色基因培育塑造官兵,0,"我军最大的政治优势。高举旗帜、听党指挥的政治信念是红色基因的“灵魂”。在长期的革命斗争和实践中，人民军队牢牢坚持思想建党、政治建军，毫不动摇坚持党指挥枪的根本原则和制度，确保了我军不断走向胜利、走向强大。习主席强调，要深入进行党史军史和光荣传统教育，确保部队建设坚定正确的政治方向。在弘扬优良传统、传承红色基因中不断增强政治意识、大局意识、核心意识、看齐意识，坚决维护党中央权威、维护核心、维护和贯彻军委主席负责制，坚决听从党中央、中央军委和习主席指挥。
坚守服务人民的根本宗旨。中国共产党人的初心和使命，就是为中国人民谋幸福，为中华民族谋复兴。来自人民、为了人民，始终与人民血肉相连、生死与共，是我军的制胜之本、力量之源。为人民牺牲一切、奉献一切是我军的最高价值追求。这是极其宝贵的优良传统和作风，也是红色基因的“命脉”。弘扬优良传统、传承红色基因，必须做到与人民同呼吸共命运的立场不能变、全心全意为人民服务的宗",0,1,0,1,0,0,0,0,0
M00007,2018-01-10_p01_坚决拥护党中央的正确决定,2018-01-10,2018,01,坚决拥护党中央的正确决定,0,"，坚持重遏制、强高压、长震慑，以永远在路上的坚韧和执着，坚决铲除腐败这个最致命的“污染源”，打赢反腐败斗争这场攻坚战持久战。
全面从严治党、全面从严治军只有进行时，没有完成时。全军官兵特别是领导干部要以房峰辉涉嫌行贿、受贿犯罪为反面教材，铸牢对党绝对忠诚的政治品格，强化坚持党对军队绝对领导的思想自觉、政治自觉、行动自觉，对党忠诚老实，一心一意听党的话、跟党走，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制，决不当“两面人”、搞两面派。要严守政治纪律、政治规矩，切实强化政治意识、大局意识、核心意识、看齐意识，努力做到信念过硬、政治过硬、责任过硬、能力过硬、作风过硬，自觉在政治立场、政治方向、政治原则、政治道路上同党中央保持高度一致。要带头树好廉洁自律“风向标”，把好洁身自好的第一关，增强政治定力、纪律定力、道德定力、抵腐定力，构筑起不想腐的思想堤坝，清清白白做人、干干净净做事、堂堂正正为官，坚决听从",0,0,0,0,0,0,0,0,0
M00008,2018-01-11_p01_努力建设一支强大的现代化武装警察部队,2018-01-11,2018,01,努力建设一支强大的现代化武装警察部队,0,"和发展中国特色社会主义军事制度出发作出的重大政治决定，对实现党在新时代的强军目标、推进国家治理体系和治理能力现代化、实现党和国家长治久安具有重大而深远的意义。调整后武警部队根本职能属性没有发生变化，不列入人民解放军序列。
“统帅千钧授，全军一念同。”使命如山，号角催征。全军特别是武警部队要牢记习主席训词，坚决听党指挥，全面贯彻习近平强军思想，强化“四个意识”，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制，坚决听从党中央、中央军委和习主席指挥，永远做党和人民的忠诚卫士。要加快建设发展，全面贯彻总体国家安全观，加快融入全军联合作战体系；聚力练兵备战，全面贯彻新形势下军事战略方针，大抓实战化军事训练；坚持依法从严，全面贯彻依法治军、从严治军要求，狠抓正风肃纪、反腐惩恶，坚决完成党和人民赋予的新时代使命任务，为建设一支强大的现代化武警部队而不懈奋斗，努力在武警部队光荣历史上谱写新的时代篇章。",0,1,0,1,0,0,0,0,0
M00009,2018-01-12_p07_对领导干部政治能力训练的思考,2018-01-12,2018,07,对领导干部政治能力训练的思考,0,"场和人民的立场相统一，坚定践行“三个维护”和全心全意为人民服务宗旨。同时，注重加强政策法规和科学知识的学习，政策法规和科学知识是分析问题、解决问题、促进发展的基础，只有熟练掌握、运用自如，才能有分析判断能力，也才能有效应对各种复杂问题和风险性问题。
按照习近平强军思想牢固确立训练标准。习近平强军思想为我们把握政治能力训练标准提供了重要遵循。其中首要的是“四个意识”标准。要认真学习《关于全面深入贯彻军委主席负责制的意见》，把贯彻军委主席负责制作为最高政治要求来遵循、作为最高政治纪律来严守，不断增强忠诚核心、拥戴核心、维护核心的政治自觉。坚持把战斗力标准落到实处。不断强化领导干部战斗力至上的意识和领导战斗力建设的能力，时刻心系战斗力、大抓战斗力，坚决摒弃游离于战斗力之外的空转虚耗、消极保安全思想，使政治能力训练深度融入、发挥作用、服务打赢，不断提高对战斗力的贡献率。坚持全面从严治党永远在路上。突出抓好政治建",0,0,0,0,0,0,0,0,0
M00010,2018-01-12_p07_对领导干部政治能力训练的思考,2018-01-12,2018,07,对领导干部政治能力训练的思考,1,"“三个维护”和全心全意为人民服务宗旨。同时，注重加强政策法规和科学知识的学习，政策法规和科学知识是分析问题、解决问题、促进发展的基础，只有熟练掌握、运用自如，才能有分析判断能力，也才能有效应对各种复杂问题和风险性问题。
按照习近平强军思想牢固确立训练标准。习近平强军思想为我们把握政治能力训练标准提供了重要遵循。其中首要的是“四个意识”标准。要认真学习《关于全面深入贯彻军委主席负责制的意见》，把贯彻军委主席负责制作为最高政治要求来遵循、作为最高政治纪律来严守，不断增强忠诚核心、拥戴核心、维护核心的政治自觉。坚持把战斗力标准落到实处。不断强化领导干部战斗力至上的意识和领导战斗力建设的能力，时刻心系战斗力、大抓战斗力，坚决摒弃游离于战斗力之外的空转虚耗、消极保安全思想，使政治能力训练深度融入、发挥作用、服务打赢，不断提高对战斗力的贡献率。坚持全面从严治党永远在路上。突出抓好政治建设和纪律建设，坚决维护党章党规",0,0,0,0,0,0,0,0,0
M00011,2018-01-15_p01_把全面从严治党引向深入,2018-01-15,2018,01,把全面从严治党引向深入,0,"得更加坚强有力，确保党成为始终走在时代前列、人民衷心拥护、勇于自我革命、经得起各种风浪考验、朝气蓬勃的马克思主义执政党。
我军是党绝对领导下的人民军队，强军兴军关键在党。作为执行党的政治任务的武装集团，我军在全面从严治党上必须标准更高、要求更严、走在前列。全面从严治党对我军来说，最根本的就是要坚持党对军队绝对领导的根本原则和制度，教育引导官兵强化“四个意识”，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制，确保全军在思想上政治上行动上与党中央、中央军委和习主席保持高度一致，坚决听从党中央、中央军委和习主席指挥。",0,1,0,1,0,0,0,0,0
M00012,2018-01-15_p06_牢记训词，书写忠诚卫士新的荣光,2018-01-15,2018,06,牢记训词，书写忠诚卫士新的荣光,0,"快建设发展，聚力练兵备战，坚持依法从严”，强化听令而行的政治自觉，切实搞清为什么调整、调整什么、怎样调整，增强贯彻执行的自觉性坚定性。扭住指挥、保障、党的建设和政治工作以及跨军地协调对接等重点工作、重要节点，以坚强的领导、密切的协同，确保各项工作落实落稳，展现我军听党指挥、闻令而动的战斗作风。积极适应新体制、履行新职能、担当新使命，加速实现素质升级、本领扩容，坚决维护权威、维护核心，坚决维护和贯彻军委主席负责制，为建设一支强大的现代化武装警察部队努力奋斗。
（作者单位：武警河南总队）",0,0,0,0,0,0,0,0,0
M00013,2018-01-15_p07_坚持党对一切工作的领导,2018-01-15,2018,07,坚持党对一切工作的领导,0,"改善党的领导的政治共识，具有丰富而深刻的时代内涵。
必须坚决维护党中央权威和集中统一领导。维护党中央权威和集中统一领导，自觉在思想上政治上行动上与党中央保持高度一致，是党的最高政治原则，是全党共同的政治责任。落实这一重大政治原则、政治责任，首位是忠诚，就是要坚定“四个自信”，树牢“四个意识”，任何时候任何情况下都忠诚核心、拥戴核心、维护核心；标准是绝对，就是要把维护党中央权威、维护核心、维护和贯彻军委主席负责制作为“第一铁律”“第一规矩”，做到绝对忠诚、绝对纯洁、绝对可靠；要害是守规矩，就是要严守政治纪律和政治规矩，不折不扣执行党的路线方针政策、中央军委决策部署和习主席指示精神，加强请示报告制度，确保政令军令畅通无阻；关键是担当，就是要勇敢地肩负起强国兴军的历史责任，以身作则、真抓实干，一级带着一级干，一级做给一级看，一张蓝图绘到底。
必须确保党始终总揽全局、协调各方。党的领导不是抽象的而是具体的，不仅",0,0,0,0,0,0,0,0,0
M00014,2018-01-17_p01_中央军委印发《中央军委巡视工作条例》,2018-01-17,2018,01,中央军委印发《中央军委巡视工作条例》,0,"本报北京1月16日电 中央军委近日印发《中央军委巡视工作条例》，自2018年1月15日起施行。(《条例》全文见第二版)
《条例》坚持以习近平强军思想为指导，全面深入贯彻军委主席负责制，着眼实现党在新时代的强军目标、全面建成世界一流军队，坚定深化政治巡视，聚焦坚持党对军队的绝对领导、加强军队党的建设、全面从严治党，着力发现问题、形成震慑，推动改革、促进发展，对于推进政治建军、改革强军、科技兴军、依法治军，强化备战打仗的鲜明导向，确保党中央、中央军委和习主席决策指示的贯彻执行，确保部队高度集中统一和有效履行使命任务，具有十分重要的意义。
《条例》共7章47条，明确规范了巡视工作的",0,0,0,0,0,0,0,0,0
M00015,2018-01-17_p01_加强军队党内监督的重大举措,2018-01-17,2018,01,加强军队党内监督的重大举措,0,"近日，中央军委印发了新修订的《中央军委巡视工作条例》。《条例》的修订印发，对于高举习近平新时代中国特色社会主义思想伟大旗帜，全面深入贯彻军委主席负责制，确保部队高度集中统一和有效履行使命任务，实现党在新时代的强军目标，具有十分重要的意义。
修订印发《条例》，是贯彻落实党中央、中央军委和习主席重要决策指示，加强军队党内监督的实际行动。巡视是党内监督的战略性制度安排，彰显中国特色社会主义民主监督制度优势。党中央、中央军委和习主席高度重视巡视工作，作出一系列重大决策部署，习主席亲自决策在军队建立巡视制度、设置巡视机构、开展巡视工作，多次作出重要指示批",0,0,0,0,0,0,0,0,0
M00016,2018-01-17_p02_中央军委巡视工作条例,2018-01-17,2018,02,中央军委巡视工作条例,0,"军、海军、空军、战略支援部队所属副战区级单位党委，火箭军、武警部队所属军级单位党委，建立巡察制度，加强巡察力量，开展巡察工作。
开展巡视巡察工作的党组织承担巡视巡察工作的主体责任。
第三条 巡视工作以马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观、习近平新时代中国特色社会主义思想为指导，全面贯彻习近平强军思想，牢固树立政治意识、大局意识、核心意识、看齐意识，坚决维护和贯彻军委主席负责制，着眼实现党在新时代的强军目标、全面建成世界一流军队，落实中央巡视工作方针，坚定深化政治巡视，聚焦坚持党对军队的绝对领导、加强军队党的建设、全面从严治党，发现问题、形成震慑，推动改革、促进发展，着力推进政治建军、改革强军、科技兴军、依法治军，强化备战打仗的鲜明导向，确保党中央、中央军委和习主席决策指示的贯彻执行，确保部队高度集中统一和有效履行使命任务。
第四条 巡视工作必须坚持军委集中统一领导、分",0,0,0,0,0,0,0,0,0
M00017,2018-01-17_p02_中央军委巡视工作条例,2018-01-17,2018,02,中央军委巡视工作条例,1,"心作用，履行管党治党主体责任和监督责任，执行中央八项规定和军委十项规定精神，落实意识形态工作责任制等情况进行监督，着力发现党的领导弱化、党的建设缺失、全面从严治党不力，党的观念淡漠、组织涣散、纪律松弛，管党治党宽松软问题：
（一）违反政治纪律和政治规矩，存在违背党的理论路线方针政策和中央军委决议、命令、指示的言行，坚持党对军队绝对领导的根本原则和制度、维护习主席在党中央和全党的核心地位、维护和贯彻军委主席负责制不坚决不彻底，上有政策、下有对策，有令不行、有禁不止，口是心非、阳奉阴违，搞团团伙伙、拉帮结派，欺骗组织、对抗组织等问题；
（二）违反组织纪律，违反民主集中制原则，违规用人、任人唯亲，跑官要官、买官卖官，封官许愿、收买人心，以党委集体决策名义集体违规，以及独断专行、软弱涣散、严重不团结等问题；
（三）违反廉洁纪律，以权谋私、贪污贿赂、腐化堕落，以及对配偶、子女及其配偶等亲属和身边工作人员教育管理不",0,1,0,1,0,0,0,0,0
M00018,2018-01-17_p03_用好军队党内监督“利器” 充分发挥巡视“利剑”作用,2018-01-17,2018,03,用好军队党内监督“利器” 充分发挥巡视“利剑”作用,0,"的十九大精神和习主席重要决策指示的实际行动。党的十九大报告强调“强化自上而下的组织监督”“深化政治巡视”。习主席高度重视巡视工作，作出一系列重要决策指示，提出一系列新思想新观点新要求，并亲自决策在军队建立巡视制度、设置巡视机构、开展巡视工作，多次作出重要指示批示，为军队巡视工作指明了方向。通过巡视立法将党中央、习主席关于巡视工作的重要决策指示上升为法规制度，对于贯彻落实党的十九大精神，全面深入贯彻军委主席负责制，确保部队高度集中统一和有效履行使命任务，具有重要意义。
二是适应巡视实践发展的现实需要。在党中央、中央军委和习主席坚强有力领导下，巡视工作在坚持中深化、在深化中坚持，从围绕党风廉政建设和反腐败斗争，到紧扣党的“六项纪律”深化“四个着力”，再到坚定不移深化政治巡视，巡视工作理论和实践不断创新发展。随着政治建军、改革强军、科技兴军、依法治军的深入推进，备战打仗导向更加鲜明，军队巡视工作的指导思想、方",0,0,0,0,0,0,0,0,0
